municipio;RP
Balsa Nova (PR);1,077819985
Botucatu (SP);1,076631936
Iguaí (BA);1,076432442
Esperantina (TO);1,076388617
Ipueiras (CE);1,076072338
Beruri (AM);1,075843097
Monte das Gameleiras (RN);1,075767897
Esperantina (PI);1,075715382
São José do Norte (RS);1,07515117
Capivari de Baixo (SC);1,074073652
Indiara (GO);1,07386105
Santo Antônio das Missões (RS);1,073808681
São Bento do Norte (RN);1,073252951
Condado (PB);1,073197495
Imaruí (SC);1,073042173
Campo Bom (RS);1,072718196
Itabuna (BA);1,072616806
São João (PR);1,072590784
Itinga do Maranhão (MA);1,072569644
Rio do Sul (SC);1,072420021
Abaré (BA);1,072178015
Araxá (MG);1,071891658
Araraquara (SP);1,071799664
Guaxupé (MG);1,071306476
Umburanas (BA);1,070682976
Jacarezinho (PR);1,070656765
Riversul (SP);1,070633235
Laje do Muriaé (RJ);1,070326962
Picos (PI);1,069972096
Igarapé (MG);1,069936613
Caçapava (SP);1,069824266
Campo Largo do Piauí (PI);1,069732824
Almenara (MG);1,068856844
Uruoca (CE);1,068724458
Poções (BA);1,068193338
Santos (SP);1,067950886
Diadema (SP);1,067718886
Canindé (CE);1,067687057
Canarana (BA);1,067311619
Porto Belo (SC);1,067257702
Boituva (SP);1,067097252
Iretama (PR);1,066823881
Terenos (MS);1,066605414
Farias Brito (CE);1,06596714
Nova Iguaçu de Goiás (GO);1,065883994
Mandaguaçu (PR);1,065530889
Bandeira do Sul (MG);1,065487534
Suzanápolis (SP);1,065274936
Nova Ipixuna (PA);1,064818693
Vigia (PA);1,064666702
Uauá (BA);1,064564817
Cordeirópolis (SP);1,064234019
Turmalina (MG);1,063808325
Bonito (PA);1,063559492
Cruz das Almas (BA);1,063269975
Fernando Pedroza (RN);1,06326807
Pau Brasil (BA);1,063249669
Apuí (AM);1,063185953
Cruzeiro do Sul (AC);1,063083554
Paulo Ramos (MA);1,06257723
Vera Cruz (SP);1,06200292
Alfredo Chaves (ES);1,061772651
Vespasiano (MG);1,061522231
Poço Fundo (MG);1,061160575
Quatro Barras (PR);1,060993203
Primavera do Leste (MT);1,060992629
Tucumã (PA);1,060969112
Dom Feliciano (RS);1,060945067
Altos (PI);1,060413933
Itajá (GO);1,060184422
Maragogi (AL);1,060154466
Quitandinha (PR);1,060069172
Barra do Corda (MA);1,059710114
Porto Nacional (TO);1,059002446
Siqueira Campos (PR);1,058557731
Areia Branca (RN);1,058300258
Matinhos (PR);1,058080497
Nanuque (MG);1,057835291
São Sebastião da Bela Vista (MG);1,057513476
Presidente Tancredo Neves (BA);1,056354783
Coronel Ezequiel (RN);1,055984143
Ribeirão Preto (SP);1,055966619
Itamarandiba (MG);1,055749777
Senador Cortes (MG);1,055365402
Assis Chateaubriand (PR);1,055136025
São Félix de Balsas (MA);1,054885908
Monte Alegre de Minas (MG);1,054842167
São Joaquim (SC);1,05459236
Marcos Parente (PI);1,054471782
Cerquilho (SP);1,054066709
Varjão de Minas (MG);1,054002468
Campos do Jordão (SP);1,053253503
Iranduba (AM);1,053243041
Goiana (PE);1,053086839
Juazeirinho (PB);1,052448828
São Carlos (SP);1,052147837
Jatobá do Piauí (PI);1,052077659
Paragominas (PA);1,051865848
Barueri (SP);1,0516538
Carambeí (PR);1,051603201
Itapoá (SC);1,051590111
Mantenópolis (ES);1,051233196
Santa Tereza do Oeste (PR);1,051039477
Cruzmaltina (PR);1,050986292
Porto Amazonas (PR);1,050729829
Divina Pastora (SE);1,050501967
Paulistânia (SP);1,050315807
Eunápolis (BA);1,049889493
São João do Tigre (PB);1,04967143
Rio Grande da Serra (SP);1,049392086
Barra de São Francisco (ES);1,048958412
São Francisco de Paula (RS);1,048954056
Ubatuba (SP);1,048770858
São João de Meriti (RJ);1,048276373
Paranaíba (MS);1,047197059
Monte Alegre do Sul (SP);1,047169102
Russas (CE);1,046566831
Barra de Guabiraba (PE);1,046501124
Criciúma (SC);1,045854503
Apicum-Açu (MA);1,045787053
Timbó (SC);1,045773044
Caruaru (PE);1,04562824
Monte Negro (RO);1,045495341
União dos Palmares (AL);1,045395688
Juruá (AM);1,045344245
Balneário Gaivota (SC);1,045329698
Angra dos Reis (RJ);1,045318145
Vargem Grande Paulista (SP);1,04500329
Paraíso do Tocantins (TO);1,044884309
Guaiúba (CE);1,044735822
Groaíras (CE);1,044724688
Presidente Médici (RO);1,044062011
Santa Rita do Passa Quatro (SP);1,04376331
São João da Mata (MG);1,043051598
Estrela Dalva (MG);1,042813023
Nazaré Paulista (SP);1,042793942
Piripá (BA);1,042450091
José Gonçalves de Minas (MG);1,0423362
São José do Alegre (MG);1,041831803
Queluz (SP);1,041653372
Lastro (PB);1,041347266
Nazário (GO);1,04131792
Xangri-lá (RS);1,041069922
São Domingos do Araguaia (PA);1,040754806
Matias Barbosa (MG);1,040343205
Boa Vista do Ramos (AM);1,04005739
Conde (PB);1,039881867
São Lourenço da Mata (PE);1,039722137
Equador (RN);1,03961368
Brejo da Madre de Deus (PE);1,039572235
Bom Jesus do Sul (PR);1,039455371
Jauru (MT);1,03934635
Água Clara (MS);1,038911763
Guaraniaçu (PR);1,038845303
Fartura do Piauí (PI);1,038588208
Canaã (MG);1,038578041
Sítio d'Abadia (GO);1,038418981
Moreno (PE);1,038339685
Itatiaia (RJ);1,038019549
Conselheiro Pena (MG);1,037931398
Santa Inês (MA);1,037811979
Canhotinho (PE);1,03762343
Uruburetama (CE);1,037121679
Eusébio (CE);1,037009984
Gonçalves (MG);1,035941499
Domingos Mourão (PI);1,035941499
Paraty (RJ);1,035701078
São José do Jacuri (MG);1,035439994
Lucena (PB);1,035199184
Paranavaí (PR);1,035164551
Altamira do Maranhão (MA);1,034575669
Inhambupe (BA);1,034439246
Piranguçu (MG);1,034226648
Sidrolândia (MS);1,033907784
Confins (MG);1,033827333
Santa Quitéria (CE);1,033750149
Betim (MG);1,03361982
Dom Cavati (MG);1,03298408
Jandira (SP);1,03279098
Urânia (SP);1,032305793
Boa Vista (RR);1,031970464
Passos (MG);1,031804729
Pinhais (PR);1,031610769
Santa Maria (RS);1,031538266
Ouro Branco (RN);1,031091783
Senador Canedo (GO);1,030716363
Pilar do Sul (SP);1,030183976
Alvorada do Norte (GO);1,029624782
Guarani d'Oeste (SP);1,029624782
Matelândia (PR);1,029624782
Agrolândia (SC);1,029437408
Barro Alto (BA);1,029242108
Almirante Tamandaré do Sul (RS);1,029101865
Branquinha (AL);1,028659811
Rio Vermelho (MG);1,028565917
Ipecaetá (BA);1,028498196
Axixá do Tocantins (TO);1,028420778
Aparecida de Goiânia (GO);1,028419188
Ubatã (BA);1,028217317
Farol (PR);1,027930763
Venâncio Aires (RS);1,027693197
Camaçari (BA);1,027355558
Porangatu (GO);1,026860034
Santo Antônio de Lisboa (PI);1,026627074
Campo Mourão (PR);1,026580393
Buerarema (BA);1,026564563
Goiânia (GO);1,025991569
Ferreira Gomes (AP);1,025917763
Alto Jequitibá (MG);1,025578383
São Miguel do Araguaia (GO);1,025487477
Ilhabela (SP);1,024732193
Palestina de Goiás (GO);1,024364886
Santaluz (BA);1,024290785
Hidrolina (GO);1,024106342
Carmópolis (SE);1,023901754
Itaquaquecetuba (SP);1,023599411
Gavião Peixoto (SP);1,023493457
Santa Bárbara do Tugúrio (MG);1,023263032
Brasília (DF);1,022962911
Uberlândia (MG);1,022894624
São Francisco (PB);1,022732172
Vitória do Xingu (PA);1,022433836
Jaguarari (BA);1,022351954
Coronel Sapucaia (MS);1,022202895
Cafelândia (PR);1,022199473
Palmeira (SC);1,02198602
Nova Viçosa (BA);1,021467842
Balsas (MA);1,021277868
Astolfo Dutra (MG);1,021176878
São João do Ivaí (PR);1,021034119
Guarabira (PB);1,0207765
Alagoa Grande (PB);1,020459218
Herveiras (RS);1,02039228
Saquarema (RJ);1,020025114
Lorena (SP);1,019856967
Alpinópolis (MG);1,019609853
São João dos Patos (MA);1,019089853
Governador Dix-Sept Rosado (RN);1,018412584
Sorocaba (SP);1,018262632
Buriti (MA);1,018213411
Filadélfia (TO);1,018142971
Tabatinga (SP);1,017564041
Cocal (PI);1,017508115
Mercês (MG);1,017415793
Angelândia (MG);1,017351463
Urupema (SC);1,017219665
Malacacheta (MG);1,017045443
Pescador (MG);1,016934729
Antônio João (MS);1,016454262
Carmo (RJ);1,016214156
Buriticupu (MA);1,016211591
Três Corações (MG);1,015589095
Abadia de Goiás (GO);1,015198839
Biguaçu (SC);1,015046713
Iraquara (BA);1,014748927
Tatuí (SP);1,0143061
Campo Grande (MS);1,013320002
Floresta do Piauí (PI);1,013295542
Quaraí (RS);1,013150786
Caseiros (RS);1,013150786
Marataízes (ES);1,01285277
Alto Alegre (RR);1,01254246
Tuparetama (PE);1,012517962
Silva Jardim (RJ);1,012265054
Tomar do Geru (SE);1,012138647
Olímpia (SP);1,011789469
Várzea Alegre (CE);1,011400868
Guaíba (RS);1,011253663
Lindóia (SP);1,011128529
Açailândia (MA);1,01109057
Barro (CE);1,010658989
Fronteira dos Vales (MG);1,010430396
Presidente Jânio Quadros (BA);1,010127094
Salvador (BA);1,009758639
São José de Piranhas (PB);1,00959065
Santa Bárbara do Monte Verde (MG);1,009331693
Frederico Westphalen (RS);1,009207115
Marilândia (ES);1,008761311
Angelina (SC);1,008486536
Camocim de São Félix (PE);1,008168109
Quedas do Iguaçu (PR);1,00805284
Nova Floresta (PB);1,007177183
Charrua (RS);1,006562378
Várzea Paulista (SP);1,006403507
Ipaumirim (CE);1,006191296
Entre Rios (BA);1,006112431
Arenápolis (MT);1,005870202
Água Boa (MT);1,005557096
Quirinópolis (GO);1,005545585
Taquari (RS);1,005189684
Arapiraca (AL);1,005109907
Anhanguera (GO);1,005109907
Pimenteiras (PI);1,00502128
Campos Borges (RS);1,004831714
Feira Nova (PE);1,004781547
Santa Luzia do Itanhy (SE);1,00451936
Bento de Abreu (SP);1,004338525
Floraí (PR);1,004270917
Araçatuba (SP);1,00408533
Craíbas (AL);1,003962205
Santo Antônio de Jesus (BA);1,00359817
Potiretama (CE);1,003427433
Redenção (PA);1,00312545
Torres (RS);1,003015476
Nova Friburgo (RJ);1,002807995
Sebastião Barros (PI);1,0019709
Carbonita (MG);1,001803624
São João da Varjota (PI);1,001670105
Abaetetuba (PA);1,001272154
Itararé (SP);1,001264804
Hortolândia (SP);1,001130089
Paulista (PE);1,001059117
Itaguaí (RJ);1,000800118
Sorriso (MT);1,000467514
Campo Azul (MG);1,000238615
Ibimirim (PE);1,000083034
Macaíba (RN);0,999818504
Tapes (RS);0,999706458
Vertentes (PE);0,999663025
Limoeiro do Norte (CE);0,999372207
São Fidélis (RJ);0,998995817
Paraguaçu (MG);0,998863539
São José do Peixe (PI);0,998707933
Lucas do Rio Verde (MT);0,998464988
Olaria (MG);0,998391948
Goianorte (TO);0,997897214
Juatuba (MG);0,997780026
Birigui (SP);0,997718088
Parelhas (RN);0,997489417
São Domingos (SE);0,997420967
Ribeira (SP);0,997407915
Jaboticatubas (MG);0,997130498
Tubarão (SC);0,997002415
Nova Redenção (BA);0,996842884
Catalão (GO);0,996826734
Taquaritinga (SP);0,996801306
Raposa (MA);0,996538166
Santa Lúcia (PR);0,996283475
Rosário (MA);0,996253968
Rondon do Pará (PA);0,996126086
Tacaratu (PE);0,996110931
Espumoso (RS);0,996034572
Cariré (CE);0,995989127
Paraíso das Águas (MS);0,995989127
Crissiumal (RS);0,995905889
Corbélia (PR);0,995559349
Castanhal (PA);0,995553165
São Felipe D'Oeste (RO);0,995551996
Cristalina (GO);0,995483992
Corumbaíba (GO);0,995019323
Luzilândia (PI);0,994850854
Coremas (PB);0,994773354
Santa Isabel do Ivaí (PR);0,994733997
Capitão Andrade (MG);0,994368274
Formosa do Rio Preto (BA);0,994282243
Coroatá (MA);0,993601916
Jacinto Machado (SC);0,993378579
Quinze de Novembro (RS);0,993285084
Riacho de Santo Antônio (PB);0,993285084
Currais Novos (RN);0,993212955
Turiaçu (MA);0,99312612
Mateus Leme (MG);0,992865102
Cajari (MA);0,992861431
Eugenópolis (MG);0,99273331
Mesquita (RJ);0,992678868
Palmares do Sul (RS);0,992589073
Turvolândia (MG);0,992278716
Quissamã (RJ);0,99159952
Cabo de Santo Agostinho (PE);0,990209142
Itaperuna (RJ);0,990178641
Cerro Corá (RN);0,990124632
Holambra (SP);0,99006056
Jequitaí (MG);0,98960852
Franciscópolis (MG);0,989536094
Itabaiana (SE);0,989252024
Matão (SP);0,989225627
Cotriguaçu (MT);0,989135496
Caxias do Sul (RS);0,989104081
Pará de Minas (MG);0,989102896
Canguçu (RS);0,989086415
São Miguel dos Campos (AL);0,988986389
Ferraz de Vasconcelos (SP);0,988944956
Tabuleiro do Norte (CE);0,988845568
Campo Belo (MG);0,988401976
Nova Serrana (MG);0,987855291
Pancas (ES);0,987607067
Jataí (GO);0,987000075
Santa Gertrudes (SP);0,986932704
Chalé (MG);0,986744936
Campina do Simão (PR);0,98672375
Monte Santo do Tocantins (TO);0,986652129
Capão da Canoa (RS);0,986428271
Mogi das Cruzes (SP);0,986025274
Rio Bonito (RJ);0,985677829
Uberaba (MG);0,985652481
Viçosa (MG);0,985357518
João Ramalho (SP);0,985104287
Olindina (BA);0,984814973
Leopoldo de Bulhões (GO);0,984766344
Tanque do Piauí (PI);0,984278613
Marcionílio Souza (BA);0,983959973
Alta Floresta (MT);0,983828938
Pelotas (RS);0,983800101
Resende (RJ);0,983613713
Indiaporã (SP);0,983438392
Lago dos Rodrigues (MA);0,983304599
Corinto (MG);0,983070271
Ji-Paraná (RO);0,982595923
São Francisco (MG);0,982516746
Mairiporã (SP);0,982352418
Muribeca (SE);0,982237296
Santo Antônio (RN);0,982222208
Niterói (RJ);0,98213264
Santo Antônio da Platina (PR);0,981890144
Arara (PB);0,981735258
Novo Brasil (GO);0,981456909
Pontal (SP);0,98108263
Rosário da Limeira (MG);0,980905739
Martinópole (CE);0,980830099
Brasileira (PI);0,980804262
Caçu (GO);0,980737414
Olho d'Água das Cunhãs (MA);0,980036849
Domingos Martins (ES);0,97979485
Santa Maria das Barreiras (PA);0,979599503
Ponte Alta do Tocantins (TO);0,979405804
Catende (PE);0,979353887
Laurentino (SC);0,979259879
Riachão das Neves (BA);0,979194958
Crucilândia (MG);0,978844613
Aramari (BA);0,978839873
Porteirinha (MG);0,97874584
Coronel Fabriciano (MG);0,97862328
Rafael Godeiro (RN);0,978389193
Vargem Bonita (SC);0,977873537
Itapeva (SP);0,977643235
Licínio de Almeida (BA);0,977421396
Perdigão (MG);0,97725391
Ribeirão das Neves (MG);0,976918773
Votorantim (SP);0,976800603
Cacaulândia (RO);0,976530878
Santa Quitéria do Maranhão (MA);0,976203085
Moju (PA);0,975874779
Guararema (SP);0,975763632
Paulo Jacinto (AL);0,975763632
Cananéia (SP);0,975583934
Itacaré (BA);0,975214925
Votuporanga (SP);0,975050428
Porto Franco (MA);0,974876295
Trindade (GO);0,974518593
Piraúba (MG);0,974463145
Ibicuitinga (CE);0,974379219
Rochedo (MS);0,974370827
Massaranduba (SC);0,97406992
Cajamar (SP);0,973738515
Três Lagoas (MS);0,973652686
Nova Odessa (SP);0,973361405
Três Pontas (MG);0,973331298
Montadas (PB);0,973289497
Abreu e Lima (PE);0,97324022
Olho d'Água do Borges (RN);0,972936094
Petrópolis (RJ);0,972712816
Presidente Dutra (MA);0,972277726
Marabá (PA);0,972162222
Vitória do Jari (AP);0,972083977
Curuçá (PA);0,971932657
Tasso Fragoso (MA);0,971765028
Santa Cruz de Salinas (MG);0,97169193
Bela Vista de Minas (MG);0,971596357
Fortim (CE);0,971517127
Água Fria de Goiás (GO);0,971430406
Inconfidentes (MG);0,971381386
Fortaleza de Minas (MG);0,971288262
Cedro (PE);0,971281336
Mafra (SC);0,971258396
Jacinto (MG);0,971066155
Acopiara (CE);0,970817869
Resplendor (MG);0,970450944
São João Evangelista (MG);0,970260846
Marumbi (PR);0,970244422
Itapetininga (SP);0,970088079
Arraial do Cabo (RJ);0,970012478
Araruama (RJ);0,969492999
Sapé (PB);0,969259302
Guaramirim (SC);0,968809669
Ourinhos (SP);0,968780167
São Gabriel (RS);0,968625759
Elisiário (SP);0,968595398
Vidal Ramos (SC);0,968569314
Parauapebas (PA);0,968378415
Ampére (PR);0,968225139
Lucrécia (RN);0,967670283
Itu (SP);0,967543745
João Câmara (RN);0,966282291
Santa Rita do Sapucaí (MG);0,966152158
Lima Duarte (MG);0,965830018
Atalaia (AL);0,965561436
Barrinha (SP);0,965521881
Alto Alegre do Pindaré (MA);0,965468466
Tutóia (MA);0,965249112
Cascalho Rico (MG);0,965083406
Diamante (PB);0,965058694
Sertânia (PE);0,964949622
Lagoa Vermelha (RS);0,964591538
Sumaré (SP);0,964361868
Jaguaquara (BA);0,964349206
Andirá (PR);0,964153119
Itatiaiuçu (MG);0,96371482
Santo Antônio de Leverger (MT);0,963576439
Heliodora (MG);0,96348977
Cuité (PB);0,963364128
Jundiaí (SP);0,963308659
Encruzilhada (BA);0,963289507
Rio Pomba (MG);0,963218323
Ibaté (SP);0,962941395
Estrela do Sul (MG);0,96278949
Dormentes (PE);0,962772254
Frutuoso Gomes (RN);0,962681686
Filadélfia (BA);0,962371535
Jaguaribara (CE);0,96201713
Diamantino (MT);0,96200301
Barra do Ouro (TO);0,961995273
Entre Folhas (MG);0,961831376
Dionísio (MG);0,961805186
Borborema (PB);0,961699844
Palma (MG);0,961608567
Marília (SP);0,961090587
Capela de Santana (RS);0,960884711
Tacuru (MS);0,960843408
Nova Lima (MG);0,96072011
Lontra (MG);0,960514587
Avaí (SP);0,960493161
Santa Helena (PR);0,960476908
Cachoeira da Prata (MG);0,960202478
Matias Olímpio (PI);0,960054233
Passagem (PB);0,959812627
Brasil Novo (PA);0,95981124
Passagem Franca do Piauí (PI);0,959655118
Natalândia (MG);0,959423093
Lauro de Freitas (BA);0,959182448
Jaçanã (RN);0,959178155
Patos (PB);0,959153396
Saúde (BA);0,9588737
Governador Lindenberg (ES);0,958638752
Porto Firme (MG);0,958606099
Jequeri (MG);0,958573294
Maringá (PR);0,958146694
Campo Formoso (BA);0,958119255
Itagimirim (BA);0,957760314
Januária (MG);0,957685381
Banabuiú (CE);0,957470211
São José do Rio Pardo (SP);0,957419892
Nova Prata do Iguaçu (PR);0,957383214
Bela Vista do Paraíso (PR);0,956253691
Caridade do Piauí (PI);0,956182443
Itatiba (SP);0,956156367
Garuva (SC);0,956060326
Cristais (MG);0,955254082
São Gabriel da Cachoeira (AM);0,955218265
Curitibanos (SC);0,955086582
Poconé (MT);0,954720792
Amparo (SP);0,954682972
Campo Novo de Rondônia (RO);0,954649844
Careiro da Várzea (AM);0,954488442
Iguape (SP);0,954051773
Itapecerica da Serra (SP);0,953891288
Rosana (SP);0,953701762
São Pedro da Aldeia (RJ);0,953622046
São João da Barra (RJ);0,953415713
Toledo (PR);0,953314717
Nazaré da Mata (PE);0,953162175
Dourados (MS);0,952646298
Cafarnaum (BA);0,952282076
Angélica (MS);0,952179802
Jacobina (BA);0,951732839
Quixeramobim (CE);0,951378962
Barreiros (PE);0,951173025
Erval Velho (SC);0,950585009
Tunas do Paraná (PR);0,950320992
Turilândia (MA);0,950022335
Juquiá (SP);0,949914994
Borrazópolis (PR);0,949624201
Venda Nova do Imigrante (ES);0,949479007
Pedralva (MG);0,949436533
Simões Filho (BA);0,949247558
Tapiraí (MG);0,949204385
Dourado (SP);0,948994581
São João do Arraial (PI);0,94887483
Augusto de Lima (MG);0,948852102
Vianópolis (GO);0,948389342
Santo Antônio de Posse (SP);0,948030872
Vargem (SP);0,94774062
São Gabriel do Oeste (MS);0,947648841
Valparaíso de Goiás (GO);0,947202402
Doutor Severiano (RN);0,946892297
Palmas (TO);0,946681161
Águas de Lindóia (SP);0,946473824
Cambuí (MG);0,946169957
Mata de São João (BA);0,946124694
Laranjal Paulista (SP);0,945211312
Alto Alegre (SP);0,945185364
Balneário Arroio do Silva (SC);0,944625417
Porto Feliz (SP);0,94446209
Sumé (PB);0,944332551
Tupã (SP);0,94429516
Portalegre (RN);0,944150077
Nerópolis (GO);0,94391945
Laguna Carapã (MS);0,943759618
Mar de Espanha (MG);0,942453499
São José do Barreiro (SP);0,942241625
Sonora (MS);0,942238606
Mucurici (ES);0,942221581
Águas Lindas de Goiás (GO);0,941955695
Monteiro (PB);0,941677466
Padre Bernardo (GO);0,941670734
Amaraji (PE);0,941452026
São Francisco do Sul (SC);0,940880876
Porto Real (RJ);0,940727222
Conceição do Castelo (ES);0,940695977
Dom Pedrito (RS);0,940613927
Apuarema (BA);0,9404095
Valparaíso (SP);0,940385821
Viçosa do Ceará (CE);0,940270622
Carpina (PE);0,940196638
Mutuípe (BA);0,939647591
Taboleiro Grande (RN);0,938905063
General Carneiro (PR);0,938781012
Congonhas (MG);0,938634685
Carmo do Cajuru (MG);0,938542084
Nova Aurora (PR);0,938443336
Rio Real (BA);0,938314808
Sento Sé (BA);0,938250103
Santa Cruz do Rio Pardo (SP);0,938062181
Paracuru (CE);0,937861917
Franco da Rocha (SP);0,937849999
Jacareí (SP);0,937848801
Fervedouro (MG);0,937653512
Mocajuba (PA);0,937481731
Espinosa (MG);0,937393833
Taquara (RS);0,937186361
Caxingó (PI);0,93707845
Francinópolis (PI);0,9370614
Carolina (MA);0,936854999
Macajuba (BA);0,936846272
São José da Boa Vista (PR);0,93654943
Cândido Sales (BA);0,936356201
Atibaia (SP);0,93610985
Palmeiras do Tocantins (TO);0,935791982
Pau D'Arco do Piauí (PI);0,935684789
Guairaçá (PR);0,935681486
Itaguari (GO);0,935645329
Fortaleza dos Nogueiras (MA);0,935133901
Nova Veneza (GO);0,935035268
Vinhedo (SP);0,934303105
Riachão (MA);0,934078206
Lagoa do Sítio (PI);0,933951683
Bom Jesus de Goiás (GO);0,933873717
Registro (SP);0,933767844
Castro (PR);0,933545256
Colônia do Gurguéia (PI);0,933526469
Butiá (RS);0,933481869
Brasilândia de Minas (MG);0,933106028
Santo Amaro (BA);0,93304461
Capão Bonito (SP);0,932899559
Alegrete (RS);0,932803736
Pedra Branca (CE);0,93280362
Capim (PB);0,932718921
Passira (PE);0,932475288
Fazenda Rio Grande (PR);0,932349437
Valente (BA);0,932249546
Suzano (SP);0,931545025
Novo Gama (GO);0,931288494
Rio Branco (MT);0,930862538
Brazópolis (MG);0,930463951
Guaraçaí (SP);0,930412181
São Caitano (PE);0,930117868
Vera (MT);0,930040761
Porto Seguro (BA);0,929932372
Conceição do Rio Verde (MG);0,929051434
Mamborê (PR);0,928897291
Sertãozinho (SP);0,928883243
Boquim (SE);0,928735262
Jaborandi (BA);0,928493982
Tupanciretã (RS);0,928489431
Ibateguara (AL);0,928469453
Pirambu (SE);0,928262757
Magé (RJ);0,928204528
Cabo Frio (RJ);0,927288437
Tiradentes (MG);0,926715487
Pacajus (CE);0,926565119
Diamante D'Oeste (PR);0,926368578
Lagoa d'Anta (RN);0,926259986
Piranhas (AL);0,926111264
São Manuel (SP);0,926052078
Araporã (MG);0,926042999
Olinda (PE);0,925649084
Cocal do Sul (SC);0,92558729
Padre Paraíso (MG);0,925438682
Artur Nogueira (SP);0,925413692
Novo Hamburgo (RS);0,925344325
Bezerros (PE);0,925116882
Auriflama (SP);0,924947767
Três Ranchos (GO);0,924935101
Luiz Alves (SC);0,924935101
São João do Soter (MA);0,924827281
Cubati (PB);0,924488954
Santa Maria Madalena (RJ);0,924166732
Capivari (SP);0,924087625
Pintadas (BA);0,924019684
São Domingos do Norte (ES);0,924013019
Sarzedo (MG);0,923487693
Turvânia (GO);0,923444727
Cruzília (MG);0,923324502
Itaguajé (PR);0,923238647
Rio dos Índios (RS);0,923212062
Miracema do Tocantins (TO);0,923146296
Rialma (GO);0,923065177
Galinhos (RN);0,922943127
Bom Sucesso do Sul (PR);0,922867934
Paraná (RN);0,922841124
Santa Cruz Cabrália (BA);0,922834506
Minas do Leão (RS);0,922477953
Pedreira (SP);0,922392103
Diamantina (MG);0,922133872
Curvelo (MG);0,922111864
Piratininga (SP);0,922082559
Tombos (MG);0,921866398
Várzea Nova (BA);0,921482238
Alto Taquari (MT);0,9214122
Nepomuceno (MG);0,921303876
Rodrigues Alves (AC);0,921272248
Jucás (CE);0,921161675
Gandu (BA);0,920960299
Porto dos Gaúchos (MT);0,920826598
Maravilha (SC);0,920470196
Santo Antônio do Sudoeste (PR);0,920151307
Paraú (RN);0,92001678
Dom Macedo Costa (BA);0,919583196
Guapé (MG);0,919574849
Mogi Mirim (SP);0,919473908
Ibirapitanga (BA);0,919447131
Paraíba do Sul (RJ);0,919301722
Matipó (MG);0,919291985
Vila Pavão (ES);0,919047864
Clementina (SP);0,919023438
Carira (SE);0,918859691
Santarém (PA);0,918709855
Teresópolis (RJ);0,918314838
Bauru (SP);0,918120524
Sangão (SC);0,917566566
General Maynard (SE);0,917406869
Iguaraçu (PR);0,917365205
Morro do Chapéu (BA);0,917326598
Pérola (PR);0,916936433
Uraí (PR);0,916827141
Virginópolis (MG);0,916819275
Bonito (BA);0,916550614
Bodoquena (MS);0,91653071
João Pinheiro (MG);0,916434477
Salesópolis (SP);0,916380957
Cruz (CE);0,916321427
Boa Vista da Aparecida (PR);0,916319279
Urucânia (MG);0,915977519
Floriano (PI);0,915933865
Ataléia (MG);0,915838351
Rio Rufino (SC);0,915794759
Caraí (MG);0,915643402
São Roque (SP);0,915630795
São Bento do Sul (SC);0,915494034
Penha (SC);0,915446328
Água Azul do Norte (PA);0,91527265
Bálsamo (SP);0,915031278
Quiterianópolis (CE);0,91475792
Itambaracá (PR);0,91460238
Caeté (MG);0,914490342
Pio XII (MA);0,914270676
Alvorada D'Oeste (RO);0,914000989
Tibagi (PR);0,913617261
Sabará (MG);0,91359503
Placas (PA);0,913579649
Dom Bosco (MG);0,913489123
Nossa Senhora do Livramento (MT);0,913453826
Itariri (SP);0,913453826
Divino (MG);0,913365595
Esperança Nova (PR);0,9132421
São José do Rio Preto (SP);0,913198757
Américo Brasiliense (SP);0,912845207
Teixeira de Freitas (BA);0,912805025
Ibirataia (BA);0,912044175
Perdões (MG);0,912044175
Centenário do Sul (PR);0,911947947
Sapiranga (RS);0,911837493
Piratini (RS);0,911627335
Charqueadas (RS);0,911523185
Cuparaque (MG);0,91148807
Satuba (AL);0,911131841
Paiçandu (PR);0,911120037
Nova Canaã (BA);0,911084678
Escada (PE);0,910675794
Alto Paraná (PR);0,910517278
Rio Branco do Sul (PR);0,910427579
Arroio do Tigre (RS);0,910250471
Machadinho D'Oeste (RO);0,910088118
Brumado (BA);0,910030016
Itagibá (BA);0,90991661
Ponto Belo (ES);0,909657727
Bequimão (MA);0,909649101
Aurora do Pará (PA);0,90913954
Salinópolis (PA);0,908936163
Santa Cruz (PE);0,908890658
General Salgado (SP);0,908809617
Pomerode (SC);0,908582539
Governador Luiz Rocha (MA);0,90848388
Melgaço (PA);0,90845987
Paracambi (RJ);0,908060624
Ubaporanga (MG);0,908050434
Mauriti (CE);0,908020539
Boa Ventura (PB);0,908015556
Carlinda (MT);0,907050404
Pombos (PE);0,907050404
São José de Mipibu (RN);0,90703485
Avaré (SP);0,907019497
Simplício Mendes (PI);0,906990309
Santo Antônio do Tauá (PA);0,906981664
Senador Sá (CE);0,906841106
Terra Nova do Norte (MT);0,906643978
Paraíso do Sul (RS);0,906587859
Alagoinhas (BA);0,906585115
Ariranha do Ivaí (PR);0,906282011
Barbacena (MG);0,906160515
Moema (MG);0,90603707
Paudalho (PE);0,905902641
Vista Alegre do Alto (SP);0,90582602
Alto Alegre do Maranhão (MA);0,90580264
Euclides da Cunha Paulista (SP);0,905664404
Serra Branca (PB);0,905440568
Presidente Bernardes (MG);0,905220633
Nazaré (BA);0,904821779
Guajará (AM);0,904489784
Brotas (SP);0,904422271
