municipio;RP
Dois Irmãos (RS);1,399409918
Santa Brígida (BA);1,399161348
Avelino Lopes (PI);1,398606828
Trizidela do Vale (MA);1,396889982
Goiatuba (GO);1,396737522
Itaporanga (PB);1,396573765
Manoel Urbano (AC);1,393546846
Macaparana (PE);1,393069956
Hugo Napoleão (PI);1,391954368
Mathias Lobato (MG);1,389552866
Itaporã (MS);1,388673206
Umari (CE);1,388517426
Nova Marilândia (MT);1,387615604
Pinheiros (ES);1,387442536
Monte Belo do Sul (RS);1,386792237
São Nicolau (RS);1,385708382
Divisa Nova (MG);1,38526855
Ararendá (CE);1,384834197
Joaçaba (SC);1,38353482
Colinas do Sul (GO);1,382711991
Rio Pardo (RS);1,381409783
Antonina (PR);1,381408033
Derrubadas (RS);1,381067047
São José do Povo (MT);1,380234404
São Gonçalo do Amarante (CE);1,380046737
Laguna (SC);1,379362704
Serra Grande (PB);1,377499369
Penápolis (SP);1,377062007
Aquidabã (SE);1,375629037
Piracaia (SP);1,375311938
Lapão (BA);1,374566688
Madalena (CE);1,374173701
Santana do Paraíso (MG);1,373859604
São Pedro do Suaçuí (MG);1,37323658
Santa Helena de Goiás (GO);1,373082701
Paranaguá (PR);1,372136408
Baturité (CE);1,371273803
Camocim (CE);1,370894698
Santa Rita (PB);1,369701105
Poço Verde (SE);1,367510276
Imbé (RS);1,366026199
Ilha Grande (PI);1,365579558
Maracanaú (CE);1,365576919
Quixadá (CE);1,365224135
Cuiabá (MT);1,363835175
Congonhas do Norte (MG);1,363171209
Balneário Rincão (SC);1,363039979
Itapuã do Oeste (RO);1,36303627
Cocal dos Alves (PI);1,361761809
Salgado (SE);1,361426052
Canutama (AM);1,361358181
Marilac (MG);1,359182715
Santa Efigênia de Minas (MG);1,35872743
Viana (ES);1,356884
Vera Cruz do Oeste (PR);1,356623085
São Miguel (RN);1,355918331
Alvorada (RS);1,355807759
São Gabriel da Palha (ES);1,353401743
Gravataí (RS);1,352401668
Palmas (PR);1,350951712
Nova Iguaçu (RJ);1,350881466
Luís Gomes (RN);1,34975068
Dom Expedito Lopes (PI);1,349264628
Raul Soares (MG);1,348099425
Bertópolis (MG);1,346770497
Piracuruca (PI);1,346372003
Toledo (MG);1,34590542
Aliança do Tocantins (TO);1,345093654
Forquilha (CE);1,344692607
São Bernardo do Campo (SP);1,344446032
Jaguariúna (SP);1,344391871
Içara (SC);1,344346205
São Lourenço (MG);1,343766296
Balneário Pinhal (RS);1,343641408
Brusque (SC);1,343009111
Pojuca (BA);1,342523576
Xapuri (AC);1,342129986
Igarapé-Miri (PA);1,341366154
Caucaia (CE);1,339980757
Monsenhor Tabosa (CE);1,339130628
Orós (CE);1,338852373
Armação dos Búzios (RJ);1,338002629
Carutapera (MA);1,33760315
Campina Grande (PB);1,337366414
Cândido Mota (SP);1,336005372
Piên (PR);1,335533808
Redentora (RS);1,335192211
Colíder (MT);1,334934624
Tacaimbó (PE);1,33361067
São José (SC);1,333443306
Oliveira dos Brejinhos (BA);1,332771369
Itambé (BA);1,332510223
Piraquê (TO);1,331924784
Guabiruba (SC);1,33130069
Simão Dias (SE);1,330546639
Nova Cruz (RN);1,330408981
Baía Formosa (RN);1,329820201
Salto (SP);1,329430877
Novo Airão (AM);1,32849753
Iperó (SP);1,326913794
Casimiro de Abreu (RJ);1,325672611
Seropédica (RJ);1,325164756
Itanhaém (SP);1,324883484
Benevides (PA);1,324208229
Belford Roxo (RJ);1,324059358
Jaguaretama (CE);1,322881423
Braço do Trombudo (SC);1,321172783
Ibiapina (CE);1,321133405
Rio das Ostras (RJ);1,320732568
São Sebastião da Amoreira (PR);1,319370365
São José do Rio Claro (MT);1,319295225
Palhano (CE);1,318924448
Arês (RN);1,318908087
Manoel Vitorino (BA);1,315780241
Parambu (CE);1,315640762
Ibipitanga (BA);1,315495502
Caridade (CE);1,314615265
Ribeirão Bonito (SP);1,313804595
Igarapé do Meio (MA);1,311087976
Canelinha (SC);1,310460744
Jati (CE);1,31031247
Passo de Torres (SC);1,309284828
Ponte Nova (MG);1,307881521
Buritirama (BA);1,305939933
Anamã (AM);1,305169821
Ipatinga (MG);1,305008529
Córrego do Bom Jesus (MG);1,304384205
Ananindeua (PA);1,303881429
Cabedelo (PB);1,300981118
Brodowski (SP);1,299890563
São Francisco de Goiás (GO);1,297282024
Marizópolis (PB);1,296974036
Salto de Pirapora (SP);1,294962393
Nova Santa Helena (MT);1,294621394
Belo Jardim (PE);1,294467582
São João de Pirabas (PA);1,293637517
São Gonçalo (RJ);1,293633021
Ipanema (MG);1,293122652
Varjota (CE);1,291736941
Canavieiras (BA);1,291638347
Itacarambi (MG);1,290381686
Santa Luzia (MG);1,29033413
Caraguatatuba (SP);1,288914675
Louveira (SP);1,288088465
Pouso Alegre (MG);1,287928924
Mirabela (MG);1,286446435
Sobral (CE);1,28500873
Duque de Caxias (RJ);1,283946223
São João Batista (MA);1,283921671
Cafezal do Sul (PR);1,283520632
Quinta do Sol (PR);1,283067715
Porto Alegre (RS);1,282485386
Candelária (RS);1,28224012
Esteio (RS);1,28190226
São José dos Pinhais (PR);1,281698999
Tailândia (PA);1,281118941
Mataraca (PB);1,280161817
Cotegipe (BA);1,279720429
Manga (MG);1,278553447
Carinhanha (BA);1,278034378
Lacerdópolis (SC);1,276954579
Andorinha (BA);1,276674374
Ipaporanga (CE);1,276467873
Porto do Mangue (RN);1,275805153
Beneditinos (PI);1,275494493
Afonso Cláudio (ES);1,273977789
Salete (SC);1,273935537
São Domingos do Cariri (PB);1,273787255
Antônio Dias (MG);1,272986579
Carmo de Minas (MG);1,272833246
Barbalha (CE);1,272632863
Sucupira do Riachão (MA);1,27024923
Maranguape (CE);1,270138031
Cerro Grande do Sul (RS);1,269474182
Bertioga (SP);1,26930593
Nova Guarita (MT);1,269197608
Biritiba Mirim (SP);1,268585977
Barra de Santana (PB);1,267643267
Itaboraí (RJ);1,266813068
Maraú (BA);1,266765501
Ourilândia do Norte (PA);1,26642548
Campo Largo (PR);1,265258689
Trombudo Central (SC);1,265161714
Andaraí (BA);1,265147516
Serra Negra (SP);1,262456238
Peritoró (MA);1,261553056
Sousa (PB);1,260306414
Inajá (PE);1,259694828
Araçoiaba (PE);1,259220996
Colatina (ES);1,258353089
Riachinho (TO);1,257910277
